id,title,content,brief,target,type
80606,Fuxi outside Gua,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi outside to get drawings [organ]",Authorities illustration,6
80607,Fuxi outside Gua,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi outside to get drawings [organ]",Authorities illustration,6
80608,Fuxi outside Gua,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi outside to get drawings [organ]",Authorities illustration,6
80609,Fuxi outside Gua,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi outside to get drawings [organ]",Authorities illustration,6
80702,Gossip,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. Where Heaven ordered the whole set Fuxi congenital gossip are available to both heaven magic one.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi residue can be obtained [heaven] Royal Box.",Heaven Royal Box,6
80703,Gossip,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. Where Heaven ordered the whole set Fuxi congenital gossip are available to both heaven magic one.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi residue can be obtained [heaven] Royal Box.",Heaven Royal Box,6
80704,Gossip,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. Where Heaven ordered the whole set Fuxi congenital gossip are available to both heaven magic one.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi residue can be obtained [heaven] Royal Box.",Heaven Royal Box,6
80705,Gossip,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. Where Heaven ordered the whole set Fuxi congenital gossip are available to both heaven magic one.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi residue can be obtained [heaven] Royal Box.",Heaven Royal Box,6
80706,Gossip,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. Where Heaven ordered the whole set Fuxi congenital gossip are available to both heaven magic one.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi residue can be obtained [heaven] Royal Box.",Heaven Royal Box,6
80707,Gossip,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. Where Heaven ordered the whole set Fuxi congenital gossip are available to both heaven magic one.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi residue can be obtained [heaven] Royal Box.",Heaven Royal Box,6
80708,Gossip,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. Where Heaven ordered the whole set Fuxi congenital gossip are available to both heaven magic one.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi residue can be obtained [heaven] Royal Box.",Heaven Royal Box,6
80709,Gossip,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. Where Heaven ordered the whole set Fuxi congenital gossip are available to both heaven magic one.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi residue can be obtained [heaven] Royal Box.",Heaven Royal Box,6
80802,King Wen Qian,"    Heaven because of improper storage, causing heaven treasure gossip widely scattered in the world, even won the King Wen, King Wen deduce the phase diagram. Wen Wei Wang Yuli in the world, set world treasure chest made several runes, and reward people break phase diagram of.","    Plunder the wild have a chance to get outside the city of King Wen Qian, break phase diagram will be entitled to a reward of King Wen Wen Wang dry [box].",Qian,6
80803,King Wen Qian,"    Heaven because of improper storage, causing heaven treasure gossip widely scattered in the world, even won the King Wen, King Wen deduce the phase diagram. Wen Wei Wang Yuli in the world, set world treasure chest made several runes, and reward people break phase diagram of.","    Plunder the wild have a chance to get outside the city of King Wen Qian, break phase diagram will be entitled to a reward of King Wen Wen Wang dry [box].",Qian,6
80804,King Wen Qian,"    Heaven because of improper storage, causing heaven treasure gossip widely scattered in the world, even won the King Wen, King Wen deduce the phase diagram. Wen Wei Wang Yuli in the world, set world treasure chest made several runes, and reward people break phase diagram of.","    Plunder the wild have a chance to get outside the city of King Wen Qian, break phase diagram will be entitled to a reward of King Wen Wen Wang dry [box].",Qian,6
80805,King Wen Qian,"    Heaven because of improper storage, causing heaven treasure gossip widely scattered in the world, even won the King Wen, King Wen deduce the phase diagram. Wen Wei Wang Yuli in the world, set world treasure chest made several runes, and reward people break phase diagram of.","    Plunder the wild have a chance to get outside the city of King Wen Qian, break phase diagram will be entitled to a reward of King Wen Wen Wang dry [box].",Qian,6
